hotdog,food,03/03/2024,$1.50
notdog,food,03/04/2023,$2.50
hotdog,food,03/03/2023,$1.50
notdog,food,03/04/2023,$2.50
hotdog,food,03/03/2023,$1.50
notdog,food,03/04/2023,$2.50
hotdog,food,03/03/2023,$1.50
notdog,food,03/04/2023,$2.50
hotdog,food,03/03/2023,$1.50
notdog,food,03/04/2023,$2.50
hotdog,food,03/03/2023,$1.50
notdog,food,03/04/2023,$2.50
hotdog,food,03/03/2023,$1.50
notdog,food,03/04/2023,$2.50
hotdog,food,03/03/2023,$1.50
notdog,food,03/04/2023,$2.50
hotdog,food,03/03/2023,$1.50
notdog,food,03/04/2023,$2.25
hotdog,food,03/03/2023,$1.50
notdog,food,03/02/2022,$2.50
